T0,T30,T60,T90,T120
-0.342,4.23,2.17,-0.4,-6.52
-0.874,20.03,-31.28,28.16,-10.37
0.402,-0.14,-0.02,-0.33,0.08
-1.572,3.97,11.14,-11.52,-3.3
-0.895,-6.05,8.33,0.14,0.26
-0.708,-9.67,-34.6,26.41,-21.25
-0.628,2.58,-3.62,2.36,0.46
-0.368,-0.05,2.04,-3.6,1.66
0.128,8.53,-19.88,33.32,-17.2
0.197,-1.27,-32.36,-61.19,20.81
-0.188,0.019,-0.68,2.7,-1.2
0.174,-5.55,6.75,-10.81,8.37
-0.095,-2.83,12.57,-13.654,5.84
-0.204,0.04,-0.03,-0.13,0.13
-2.166,59.97,-67.19,36.65,-25.98
0.699,4.91,-6.09,3.21,-1.07
0.683,-4.17,-3.69,11.75,-13.46
0.5,0.11,1.1,-0.32,-0.45
